Date,Positive_Reviews,Negative_Reviews
2015-05-01,6680,409
2015-06-01,4512,135
2015-07-01,1975,55
2015-08-01,1136,31
2015-09-01,1225,48
2015-10-01,1254,29
2015-11-01,1501,48
2015-12-01,2361,75
2016-01-01,2543,60
2016-02-01,1811,48
2016-03-01,1340,28
2016-04-01,1201,23
2016-05-01,2557,45
2016-06-01,3447,61
2016-07-01,2410,38
2016-08-01,2205,49
2016-09-01,1849,49
2016-10-01,1832,52
2016-11-01,18844,86
2016-12-01,3116,67
2017-01-01,3065,69
2017-02-01,2563,72
2017-03-01,2193,59
2017-04-01,2144,38
2017-05-01,2349,48
2017-06-01,4495,116
2017-07-01,3318,92
2017-08-01,2271,55
2017-09-01,2393,62
2017-10-01,3817,100
2017-11-01,20097,122
2017-12-01,3717,104
2018-01-01,3364,113
2018-02-01,3299,120
2018-03-01,2398,79
2018-04-01,2394,93
2018-05-01,2023,67
2018-06-01,3488,110
2018-07-01,2752,88
2018-08-01,1935,65
2018-09-01,2253,99
2018-10-01,1746,62
2018-11-01,21075,171
2018-12-01,2743,96
2019-01-01,2379,92
2019-02-01,2889,128
2019-03-01,1910,63
2019-04-01,2374,113
2019-05-01,1740,56
2019-06-01,11049,144
2019-07-01,12157,172
2019-08-01,1744,72
2019-09-01,2008,97
2019-10-01,2994,79
2019-11-01,18803,145
2019-12-01,26061,269
2020-01-01,26697,309
2020-02-01,12833,216
2020-03-01,12162,205
2020-04-01,14968,268
2020-05-01,12139,250
2020-06-01,10625,227
2020-07-01,11306,262
2020-08-01,8271,224
2020-09-01,9555,198
2020-10-01,7114,183
2020-11-01,17458,243
2020-12-01,14866,396
2021-01-01,10722,320
2021-02-01,9487,273
2021-03-01,9140,238
2021-04-01,10782,303
2021-05-01,10316,340
2021-06-01,9441,338
2021-07-01,10967,355
2021-08-01,9078,292
2021-09-01,9432,291
2021-10-01,6120,208
2021-11-01,15176,1448
2021-12-01,12993,1598
2022-01-01,14033,456
2022-02-01,7902,293
2022-03-01,7530,5531
2022-04-01,5117,307
2022-05-01,4811,241
2022-06-01,4555,225
2022-07-01,5220,218
2022-08-01,5419,224
2022-09-01,4601,182
2022-10-01,4217,179
2022-11-01,12830,263
2022-12-01,18097,2726
2023-01-01,11857,767
2023-02-01,6351,433
2023-03-01,4913,348
2023-04-01,4164,314
2023-05-01,3474,250
2023-06-01,4179,245
2023-07-01,6368,317
2023-08-01,5074,243
2023-09-01,3639,190
2023-10-01,4469,225
2023-11-01,10483,218
2023-12-01,5279,273
2024-01-01,4594,239
2024-02-01,4424,196
2024-03-01,4391,195
2024-04-01,4033,235
2024-05-01,4085,214
2024-06-01,4137,234
2024-07-01,8013,743
2024-08-01,5229,304
2024-09-01,4196,241
2024-10-01,3481,189
2024-11-01,4456,198
2024-12-01,7657,417
2025-01-01,6227,288
2025-02-01,4263,196
2025-03-01,4338,199
2025-04-01,3004,159
2025-05-01,5528,350
2025-06-01,5123,273
2025-07-01,4606,238
2025-08-01,4307,268
2025-09-01,3061,177
2025-10-01,3525,173
2025-11-01,4068,169
2025-12-01,6600,367
2026-01-01,5493,257
2026-02-01,3672,189
2026-03-01,3629,197
2026-04-01,1539,74
